ClipName,Frame,RootT.x,RootT.y,RootT.z,RootQ.x,RootQ.y,RootQ.z,RootQ.w,FootLeftT.x,FootLeftT.y,FootLeftT.z,FootRightT.x,FootRightT.y,FootRightT.z,FootLeftV.x,FootLeftV.y,FootLeftV.z,FootRightV.x,FootRightV.y,FootRightV.z,rootV.x,rootV.x,rootV.x
temp,1,-0,812959,93,73209,2,598159,-0,02494364,0,005488569,0,006725896,0,9995694,-6,917766,-85,8735,-11,20132,6,614688,-85,96927,-13,04036,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity
temp,1,-0,803178,93,73222,2,529322,-0,02548766,0,005277084,0,006809924,0,9995668,-6,94397,-85,86606,-11,17939,6,59202,-85,96137,-13,02786,Infinity,Infinity,Infinity,-Infinity,Infinity,Infinity,Infinity,Infinity,-Infinity
temp,1,-0,8130668,93,73262,2,473683,-0,02548691,0,005113835,0,006851094,0,9995644,-6,953924,-85,85837,-11,17397,6,586647,-85,95309,-13,02722,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity
temp,1,-0,8235742,93,73325,2,446904,-0,02599703,0,004880798,0,006871848,0,9995621,-6,971696,-85,85047,-11,24419,6,572961,-85,9445,-13,0869,Infinity,Infinity,Infinity,-Infinity,Infinity,Infinity,-Infinity,Infinity,-Infinity
temp,1,-0,8177327,93,73407,2,458099,-0,02700176,0,004341522,0,007161364,0,9995601,-7,021357,-85,84238,-11,38507,6,525356,-85,93568,-13,21741,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,Infinity,Infinity,Infinity
temp,1,-0,8039857,93,73505,2,492621,-0,0274731,0,004052507,0,007540145,0,9995582,-7,095428,-85,83414,-11,50574,6,453525,-85,9267,-13,36152,Infinity,Infinity,Infinity,-Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
temp,1,-0,7918353,93,73618,2,530499,-0,02759221,0,003703997,0,00788215,0,9995565,-7,157828,-85,82576,-11,56722,6,395823,-85,91761,-13,46196,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,Infinity,Infinity,Infinity
temp,1,-0,7913922,93,7374,2,551759,-0,02751972,0,003555736,0,007907411,0,999555,-7,189718,-85,81729,-11,59832,6,369631,-85,9085,-13,50796,Infinity,Infinity,Infinity,-Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
temp,1,-0,7851685,93,7387,2,554678,-0,02741627,0,00343859,0,007916371,0,9995537,-7,215273,-85,80875,-11,60984,6,346699,-85,89944,-13,53267,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,Infinity,Infinity,Infinity
temp,1,-0,7484097,93,74004,2,552609,-0,02744251,0,003371303,0,008189401,0,9995526,-7,258896,-85,80018,-11,6126,6,301553,-85,89051,-13,54478,Infinity,Infinity,Infinity,-Infinity,Infinity,Infinity,Infinity,Infinity,-Infinity
temp,1,-0,7232367,93,74139,2,548191,-0,02760742,0,003388354,0,008285316,0,9995518,-7,302084,-85,7916,-11,61742,6,255744,-85,88177,-13,55293,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity
temp,1,-0,7208485,93,74271,2,553462,-0,02777977,0,003524262,0,008368581,0,9995512,-7,326333,-85,78304,-11,6351,6,230822,-85,87329,-13,5658,Infinity,Infinity,Infinity,-Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
temp,1,-0,7544208,93,74397,2,569319,-0,02790986,0,003486351,0,008574734,0,9995508,-7,349457,-85,77453,-11,65938,6,228461,-85,86515,-13,59207,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity
temp,1,-0,7473723,93,74516,2,581692,-0,0280271,0,003434526,0,008753621,0,9995507,-7,398248,-85,7661,-11,67555,6,196514,-85,85741,-13,56989,Infinity,Infinity,Infinity,-Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
